state/ut,2009,2010,2011,2012,2013,2014
Andhra Pradesh,16903.0,17153.0,26286.0,27708.0,29014.0,29829.0
Arunachal Pradesh,,,,,,
Assam,2211.0,2247.0,2795.0,3019.0,3303.0,3518.0
Bihar,1775.0,1918.0,2805.0,3231.0,3345.0,3419.0
Chhattisgarh,1919.0,1976.0,2358.0,2472.0,2441.0,2534.0
Goa,519.0,520.0,583.0,586.0,597.0,618.0
Gujarat,14863.0,15576.0,21282.0,22220.0,22587.0,22876.0
Haryana,4450.0,4640.0,5967.0,6142.0,6163.0,6117.0
Himachal Pradesh,1294.0,1545.0,2210.0,2489.0,2654.0,2806.0
Jammu & Kashmir,649.0,626.0,795.0,861.0,955.0,943.0
Jharkhand,1846.0,2032.0,2504.0,2556.0,2697.0,2688.0
Karnataka,8451.0,8541.0,10722.0,11460.0,11753.0,12107.0
Kerala,5867.0,5907.0,6917.0,7031.0,7129.0,7132.0
Madhya Pradesh,3345.0,3523.0,4212.0,4286.0,4206.0,4047.0
Maharashtra,20450.0,19457.0,27892.0,28215.0,28949.0,29123.0
Manipur,72.0,85.0,96.0,102.0,128.0,145.0
Meghalaya,95.0,100.0,94.0,100.0,116.0,108.0
Nagaland,91.0,90.0,84.0,86.0,106.0,134.0
Odisha,1930.0,2052.0,2536.0,2678.0,2854.0,2714.0
Punjab,10065.0,10262.0,12770.0,12593.0,12427.0,12278.0
Rajasthan,6352.0,6811.0,8172.0,8444.0,8782.0,8820.0
Sikkim,,46.0,64.0,61.0,65.0,66.0
Tamil Nadu,26122.0,26790.0,36848.0,36996.0,36869.0,37378.0
Tripura,363.0,407.0,472.0,446.0,534.0,552.0
Uttarakhand,1907.0,2344.0,2739.0,14090.0,14440.0,2936.0
Uttar Pradesh,10935.0,11015.0,13756.0,2843.0,2911.0,14463.0
West Bengal,6260.0,6818.0,8232.0,8402.0,8607.0,8859.0
Andaman & Nicobar Islands,12.0,13.0,17.0,18.0,24.0,20.0
Chandigarh,278.0,284.0,308.0,308.0,297.0,285.0
Dadra & Nagar Haveli,1151.0,1103.0,1457.0,1480.0,1413.0,1405.0
Daman & Diu,1443.0,1447.0,1940.0,1950.0,1885.0,1881.0
Delhi,3026.0,2878.0,3920.0,3849.0,3958.0,3918.0
Lakshadweep,,,,,,
Puducherry,675.0,671.0,827.0,832.0,911.0,857.0
