state,location,Mean-Pollutant-Concentration
Andhra Pradesh,Sangareddy,51.340630885122415
Andhra Pradesh,Eluru,47.3769305019305
Andhra Pradesh,Vijayawada,43.10587002096435
Andhra Pradesh,Hyderabad,42.25445230723869
Andhra Pradesh,Patancheru,41.495327102803735
Arunachal Pradesh,Itanagar,27.2
Arunachal Pradesh,Naharlagun,23.733333333333334
Assam,Nagaon,40.130801687763714
Assam,Guwahati,38.49359432099803
Assam,Sivasagar,36.186602870813395
Assam,Silcher,33.142309748707895
Assam,Nalbari,32.74433656957928
Chandigarh,Chandigarh,38.140950120540474
Chhattisgarh,Raipur,128.437564499484
Chhattisgarh,Bhilai,47.641474559788286
Chhattisgarh,Bilaspur,42.595021250758954
Chhattisgarh,Korba,34.047145226249704
Delhi,Delhi,95.24758604041658
Goa,Vasco,23.149253731343283
Goa,Panaji,20.45528455284553
Gujarat,Vapi,42.51937984496124
Gujarat,Ankleshwar,41.91749174917492
Gujarat,Surat,41.13725490196079
Gujarat,Vadodara,41.01833333333334
Gujarat,Jamnagar,40.1946102820398
Haryana,Faridabad,78.64939550949913
Haryana,Yamuna Nagar,32.75757575757576
Himachal Pradesh,Kala Amb,51.921207850466885
Himachal Pradesh,Paonta Sahib,49.007559523809526
Himachal Pradesh,Nalagarh,47.01377410468319
Himachal Pradesh,Baddi,43.28276615921948
Himachal Pradesh,Damtal,35.652805010893246
Jammu & Kashmir,Jammu,47.00364208771875
Jharkhand,Jharia,95.5168439716312
Jharkhand,Ranchi,82.83999999999999
Jharkhand,Dhanbad,70.68913630740488
Jharkhand,Sindri,49.693803708729085
Karnataka,Bangalore,61.108486596946754
Karnataka,Tumkur,46.65811965811966
Karnataka,Hubli,41.62135922330097
Karnataka,Davangere,37.824829931972786
Karnataka,Dharwad,34.32038834951456
Kerala,Kottayam,29.412337963138885
Kerala,Thiruvananthapuram,27.632872503840247
Kerala,Kochi,26.083959899749374
Kerala,Thissur,22.681286549707604
Kerala,Kozhikode,22.36527777775
Madhya Pradesh,Bhopal,60.64881706250455
Madhya Pradesh,Sagar,59.444444444444436
Madhya Pradesh,Indore,58.166410902427856
Madhya Pradesh,Gwalior,57.27217668460838
Madhya Pradesh,Satna,57.22233479680289
Maharashtra,Dombivli,84.79500891265597
Maharashtra,Badlapur,73.43859649122807
Maharashtra,Navi Mumbai,69.53948161543099
Maharashtra,Nanded,67.15447154471545
Maharashtra,Ulhasnagar,65.59860383944154
Meghalaya,Byrnihat,60.9952380952381
Meghalaya,Shillong,24.621527777777782
Meghalaya,Dawki,20.0989010989011
Meghalaya,Khliehriat,16.174556489262372
Meghalaya,Tura,15.029535864978904
Mizoram,Lunglei,18.48148148148148
Mizoram,Champhai,17.632686084142396
Mizoram,Aizawl,17.43076923073269
Mizoram,Kolasib,14.359098228663447
Odisha,Talcher,52.372168284789645
Odisha,Angul,49.456730769230774
Odisha,Cuttack,41.58469945355191
Odisha,Bhubaneswar,37.697076023391816
Odisha,Paradeep,37.34832756632064
Puducherry,Karaikal,21.07857142857143
Puducherry,Pondicherry,20.087506398119572
Punjab,Amritsar,81.33804430863255
Punjab,Khanna,64.28915007345714
Punjab,Jalandhar,61.459216707306744
Punjab,Ludhiana,61.25557441125681
Punjab,Gobindgarh,59.651688936444145
Rajasthan,Alwar,91.12857627745979
Rajasthan,Jodhpur,75.92600472784399
Rajasthan,Jaipur,67.69581958195819
Rajasthan,Kota,56.320634920634916
Rajasthan,Udaipur,49.85382059800664
Tamil Nadu,Trichy,39.68116896727251
Tamil Nadu,Thoothukudi,38.32020744088249
Tamil Nadu,Salem,33.24427480916031
Tamil Nadu,Chennai,31.366828112478135
Tamil Nadu,Cuddalore,30.186209168352026
Uttar Pradesh,Ghaziabad,102.82887221759131
Uttar Pradesh,Allahabad,93.86233609385783
Uttar Pradesh,Bareilly,90.96573208722741
Uttar Pradesh,Moradabad,84.82887292165643
Uttar Pradesh,Kanpur,79.3454935651727
West Bengal,Raniganj,67.14102564102564
West Bengal,Calcutta,66.53409090909092
West Bengal,Kolkata,66.22026061370325
West Bengal,Haldia,61.65064102564102
West Bengal,Barrackpore,55.52884615384615
