State,xco,yco
Andhra Pradesh,15.9129,79.7400
Arunachal Pradesh,28.2180,94.7278
Assam,26.2006,92.9376
Bihar,25.6254,85.9215
Chandigarh,30.7333,76.7794
Chhattisgarh,22.09042035,82.15998734
Dadra & Nagar Haveli,20.1656,73.0296
Daman & Diu,20.398330112,72.829076582
Delhi,28.8297,77.1028
Goa,15.4489,74.0711
Gujarat,22.2587,71.1924
Haryana,29.3255,76.2998
Himachal Pradesh,31.9592,77.1089
Jammu & Kashmir,34.2620,76.2711
Jharkhand,23.3441,85.3096
Karnataka,14.4644,75.9218
Kerala,10.7867,76.6548
Madhya Pradesh,23.2599,77.4126
Maharashtra,19.8762,75.3433
Manipur,24.79997072,93.95001705
Meghalaya,25.57049217,91.8800142
Mizoram,23.71039899,92.72001461
Nagaland,26.2357,94.8132
Odisha,21.0742,84.3411
Puducherry,11.93499371,79.83000037
Punjab,30.8230,75.1734
Rajasthan,26.44999921,74.63998124
Sikkim,27.7167,88.5577
Tamil Nadu,10.9904,78.3356
Uttar Pradesh,26.8467,80.9462
Uttarakhand,30.2844,78.9811
West Bengal,23.2324,87.8615
